Year,France,Alsace,Aquitaine,Auvergne,Basse-Normandie,Bourgogne,Bretagne,Centre,Champagne-Ardenne,Corse,Franche-Comté,Haute-Normandie,Île-de-France,Languedoc-Roussillon,Limousin,Lorraine,Midi-Pyrénées,Nord-Pas-de-Calais,Pays de la Loire,Picardie,Poitou-Charentes,Provence-Alpes-Côte d'Azur,Rhône-Alpes
2015,12.09,9.91,13.88,11.11,12.33,11.69,13.02,12.36,12.0,15.74,11.09,11.81,12.35,13.41,12.7,11.16,12.62,11.71,13.25,12.26,13.83,14.4,11.1
2016,12.06,9.96,13.89,11.13,12.12,11.83,12.79,12.36,11.95,15.83,11.15,11.64,12.18,13.36,12.81,11.16,12.57,11.65,13.13,12.13,13.84,14.52,11.08
2017,12.2,10.04,13.95,11.24,12.33,11.96,12.91,12.53,12.1,15.87,11.24,11.87,12.48,13.43,12.84,11.31,12.61,11.87,13.25,12.36,13.92,14.61,11.23
2018,12.14,10.05,13.94,11.14,12.25,11.8,12.91,12.41,12.15,15.83,11.16,11.83,12.43,13.39,12.85,11.3,12.67,11.86,13.16,12.43,13.81,14.48,11.06
2019,11.92,9.78,13.72,11.02,12.0,11.63,12.72,12.21,11.85,15.6,10.97,11.53,12.12,13.25,12.64,11.01,12.46,11.58,12.97,12.02,13.64,14.31,10.97
2020,11.73,9.57,13.6,10.77,11.89,11.36,12.6,12.02,11.59,15.65,10.73,11.38,11.91,13.02,12.42,10.78,12.27,11.3,12.82,11.86,13.46,14.2,10.77
2021,11.95,9.82,13.75,11.0,12.06,11.67,12.7,12.33,11.91,15.64,10.96,11.63,12.23,13.19,12.68,11.03,12.43,11.62,13.04,12.11,13.68,14.27,10.92
2022,12.09,9.91,13.95,11.11,12.13,11.8,12.68,12.42,12.15,15.91,11.02,11.63,12.35,13.4,12.81,11.23,12.66,11.65,13.12,12.23,13.82,14.51,11.07
2023,12.19,10.09,14.03,11.28,12.26,11.86,12.92,12.5,12.07,15.88,11.24,11.74,12.39,13.58,12.91,11.25,12.81,11.7,13.24,12.26,13.91,14.64,11.28
2024,12.31,10.05,14.08,11.38,12.45,11.92,13.04,12.69,12.14,16.01,11.29,11.95,12.55,13.59,13.11,11.27,12.83,11.89,13.44,12.4,14.14,14.69,11.34
2025,12.31,10.04,14.21,11.35,12.42,11.99,13.06,12.65,12.21,15.92,11.27,11.96,12.55,13.62,13.02,11.34,12.89,11.85,13.45,12.41,14.13,14.76,11.34
2026,12.33,10.23,14.04,11.34,12.49,12.03,13.06,12.68,12.28,15.98,11.33,12.05,12.57,13.55,13.04,11.48,12.74,11.98,13.42,12.52,14.08,14.66,11.33
2027,12.37,10.13,14.24,11.5,12.37,12.05,13.0,12.68,12.21,16.09,11.36,11.97,12.52,13.74,13.21,11.33,12.93,12.04,13.3,12.5,14.1,14.82,11.46
2028,12.13,10.05,14.01,11.17,12.2,11.8,12.84,12.49,12.03,15.83,11.16,11.66,12.29,13.43,12.94,11.16,12.68,11.62,13.21,12.21,13.94,14.52,11.14
2029,12.42,10.31,14.23,11.45,12.58,12.11,13.06,12.86,12.35,16.1,11.45,12.12,12.76,13.65,13.2,11.48,12.93,11.94,13.55,12.61,14.23,14.67,11.39
2030,12.27,10.15,14.12,11.26,12.34,11.92,12.94,12.53,12.14,15.98,11.33,11.82,12.41,13.67,12.94,11.33,12.89,11.75,13.33,12.32,14.05,14.74,11.39
2031,12.43,10.25,14.22,11.51,12.54,12.12,13.16,12.74,12.31,16.21,11.44,12.06,12.58,13.79,13.19,11.46,13.07,12.01,13.45,12.51,14.13,14.89,11.47
2032,12.33,10.19,14.26,11.4,12.43,11.99,13.07,12.59,12.18,16.05,11.37,11.89,12.48,13.74,13.09,11.36,12.99,11.86,13.39,12.37,14.12,14.79,11.38
2033,12.47,10.31,14.36,11.53,12.55,12.17,13.14,12.82,12.32,16.15,11.49,12.08,12.65,13.77,13.23,11.48,13.03,12.02,13.49,12.57,14.25,14.93,11.54
2034,12.63,10.49,14.41,11.65,12.73,12.36,13.3,13.0,12.58,16.29,11.65,12.31,12.89,13.84,13.39,11.73,13.11,12.29,13.7,12.78,14.38,14.91,11.61
2035,12.67,10.4,14.49,11.83,12.65,12.36,13.26,12.99,12.56,16.3,11.72,12.25,12.89,14.12,13.48,11.63,13.36,12.17,13.66,12.75,14.35,15.08,11.78
2036,12.51,10.46,14.28,11.62,12.54,12.25,13.07,12.8,12.43,16.28,11.68,12.11,12.71,13.8,13.31,11.61,13.09,12.02,13.51,12.6,14.3,14.88,11.58
2037,12.68,10.5,14.56,11.84,12.67,12.35,13.31,12.91,12.51,16.35,11.71,12.22,12.82,14.18,13.46,11.7,13.43,12.12,13.68,12.7,14.39,15.15,11.85
2038,12.52,10.41,14.34,11.52,12.59,12.17,13.18,12.81,12.44,16.39,11.56,12.1,12.75,13.94,13.14,11.62,13.13,12.11,13.53,12.67,14.22,14.98,11.54
2039,12.77,10.58,14.68,11.94,12.77,12.46,13.48,13.06,12.54,16.51,11.78,12.23,12.83,14.19,13.66,11.74,13.47,12.19,13.78,12.68,14.56,15.3,11.92
2040,12.63,10.48,14.44,11.77,12.68,12.29,13.31,12.89,12.41,16.56,11.64,12.15,12.73,13.99,13.4,11.59,13.25,12.14,13.65,12.62,14.39,15.18,11.75
2041,12.76,10.68,14.5,11.86,12.71,12.5,13.29,13.04,12.67,16.56,11.94,12.24,12.95,14.17,13.5,11.85,13.36,12.16,13.7,12.79,14.5,15.24,11.93
2042,12.88,10.57,14.78,11.9,13.12,12.51,13.74,13.32,12.76,16.39,11.75,12.55,13.1,14.2,13.7,11.83,13.52,12.4,14.13,12.94,14.81,15.2,11.8
2043,13.05,10.92,14.76,12.1,13.07,12.87,13.61,13.49,13.04,16.76,12.13,12.61,13.44,14.37,13.75,12.11,13.56,12.59,14.05,13.21,14.74,15.42,12.12
2044,12.95,10.78,14.89,12.07,12.91,12.64,13.53,13.33,12.82,16.8,11.99,12.4,13.05,14.37,13.82,11.99,13.62,12.35,13.96,12.94,14.8,15.39,12.0
2045,12.79,10.53,14.7,11.95,12.89,12.46,13.54,13.07,12.59,16.49,11.74,12.35,12.88,14.26,13.6,11.71,13.5,12.19,13.85,12.76,14.51,15.21,11.88
2046,12.93,10.89,14.68,11.96,13.09,12.62,13.65,13.28,12.84,16.49,12.0,12.52,13.14,14.19,13.62,12.04,13.42,12.44,14.05,13.01,14.64,15.31,11.97
2047,13.22,11.15,15.0,12.33,13.16,12.96,13.69,13.57,13.12,16.94,12.31,12.73,13.44,14.58,14.0,12.34,13.88,12.67,14.17,13.26,14.93,15.59,12.29
2048,13.01,10.97,14.68,12.06,13.06,12.69,13.59,13.31,12.93,16.81,12.05,12.59,13.24,14.37,13.65,12.1,13.56,12.54,13.97,13.12,14.68,15.49,12.13
2049,13.2,11.16,14.96,12.37,13.07,13.02,13.57,13.54,13.14,16.89,12.33,12.65,13.47,14.61,14.02,12.31,13.83,12.59,14.04,13.27,14.86,15.64,12.37
2050,13.14,10.93,15.01,12.23,13.16,12.82,13.62,13.53,12.95,16.88,12.19,12.71,13.33,14.54,13.95,12.1,13.81,12.56,14.17,13.18,14.96,15.59,12.25
2051,13.31,11.14,15.03,12.32,13.48,13.02,13.92,13.75,13.25,16.91,12.33,13.01,13.63,14.56,14.02,12.38,13.84,12.85,14.45,13.45,15.15,15.63,12.27
2052,13.24,11.16,15.09,12.2,13.3,12.88,13.87,13.63,13.11,16.9,12.26,12.77,13.4,14.54,13.98,12.32,13.91,12.8,14.3,13.31,15.09,15.6,12.22
2053,13.32,11.15,14.95,12.41,13.38,13.06,13.83,13.71,13.27,17.01,12.39,12.98,13.64,14.61,14.07,12.41,13.83,12.91,14.32,13.49,14.97,15.72,12.36
2054,13.09,11.0,14.85,12.15,13.1,12.81,13.71,13.41,12.96,16.81,12.23,12.66,13.31,14.51,13.78,12.1,13.69,12.5,14.1,13.13,14.77,15.64,12.29
