Year,France,Alsace,Aquitaine,Auvergne,Basse-Normandie,Bourgogne,Bretagne,Centre,Champagne-Ardenne,Corse,Franche-Comté,Haute-Normandie,Île-de-France,Languedoc-Roussillon,Limousin,Lorraine,Midi-Pyrénées,Nord-Pas-de-Calais,Pays de la Loire,Picardie,Poitou-Charentes,Provence-Alpes-Côte d'Azur,Rhône-Alpes
1901,9.7,8.25,11.7,8.1,9.84,9.45,10.64,10.12,9.12,12.42,8.06,9.51,9.96,10.64,9.19,8.37,10.16,9.25,10.74,9.36,11.04,9.27,7.7
1902,9.8,8.38,11.89,8.27,9.7,9.54,10.6,10.08,9.07,12.75,8.26,9.34,9.83,10.97,9.31,8.39,10.41,8.94,10.66,9.18,11.08,9.64,8.05
1903,10.07,8.7,12.04,8.49,10.12,9.83,10.84,10.48,9.52,12.73,8.43,9.82,10.31,10.99,9.56,8.8,10.51,9.66,11.06,9.72,11.4,9.7,8.14
1904,10.42,9.18,12.43,8.94,10.18,10.24,10.88,10.71,9.81,13.31,8.99,9.92,10.5,11.57,9.94,9.14,10.96,9.64,11.21,9.85,11.66,10.36,8.76
1905,9.84,8.52,11.77,8.23,9.87,9.62,10.68,10.21,9.31,12.57,8.31,9.53,10.04,10.81,9.32,8.62,10.26,9.3,10.77,9.43,11.12,9.55,7.97
1906,10.24,8.69,12.15,8.68,10.4,10.0,11.07,10.71,9.75,12.68,8.54,10.16,10.59,11.15,9.73,8.97,10.64,9.91,11.29,10.03,11.53,9.78,8.25
1907,10.01,8.67,11.96,8.46,10.0,9.8,10.67,10.39,9.48,12.73,8.44,9.75,10.22,11.0,9.51,8.77,10.45,9.5,10.96,9.64,11.27,9.73,8.15
1908,9.87,8.31,12.0,8.23,9.98,9.5,10.91,10.18,9.11,12.58,8.13,9.67,9.97,10.96,9.27,8.42,10.45,9.23,10.91,9.39,11.21,9.54,7.93
1909,9.53,8.12,11.51,7.92,9.64,9.26,10.4,9.91,8.94,12.38,7.94,9.34,9.75,10.49,8.98,8.23,9.97,9.03,10.55,9.17,10.82,9.17,7.58
1910,10.16,8.86,11.93,8.51,10.41,9.96,10.96,10.67,9.78,12.58,8.57,10.2,10.59,10.94,9.6,9.03,10.41,10.06,11.27,10.1,11.44,9.63,8.08
1911,11.0,9.86,12.64,9.42,11.19,10.92,11.71,11.58,10.67,13.35,9.5,10.96,11.44,11.7,10.55,9.96,11.14,10.77,12.14,10.87,12.33,10.52,9.01
1912,10.14,8.76,11.98,8.48,10.42,9.95,11.03,10.67,9.75,12.57,8.46,10.18,10.57,10.91,9.6,8.99,10.43,9.94,11.3,10.05,11.47,9.57,8.03
1913,10.61,9.25,12.47,8.95,10.86,10.42,11.42,11.15,10.19,12.93,8.94,10.64,11.02,11.41,10.09,9.44,10.92,10.4,11.77,10.49,11.98,10.01,8.49
1914,10.26,8.9,12.04,8.54,10.63,10.04,11.28,10.77,9.86,12.67,8.59,10.44,10.72,11.0,9.65,9.1,10.5,10.29,11.45,10.29,11.56,9.62,8.08
1915,10.11,8.83,12.0,8.49,10.21,9.95,10.82,10.61,9.69,12.68,8.58,9.96,10.46,10.96,9.6,8.96,10.46,9.69,11.17,9.86,11.43,9.61,8.07
1916,10.35,9.21,12.21,8.74,10.42,10.2,11.0,10.84,9.94,13.02,8.85,10.21,10.68,11.19,9.85,9.25,10.67,10.0,11.37,10.13,11.66,9.93,8.37
1917,9.47,8.25,11.42,7.84,9.49,9.27,10.2,9.84,8.95,12.48,7.98,9.24,9.68,10.38,8.93,8.28,9.88,9.05,10.42,9.15,10.74,9.14,7.55
1918,10.36,9.29,12.05,8.73,10.6,10.27,11.22,10.92,10.02,12.7,8.89,10.37,10.79,10.95,9.87,9.35,10.45,10.15,11.52,10.25,11.73,9.8,8.35
1919,9.8,8.49,11.7,8.34,9.81,9.65,10.52,10.26,9.23,12.54,8.34,9.5,10.05,10.7,9.41,8.53,10.17,9.09,10.82,9.35,11.16,9.46,7.92
1920,10.68,9.69,12.32,9.1,10.68,10.61,11.28,11.09,10.26,13.65,9.4,10.42,10.92,11.45,10.16,9.67,10.82,10.2,11.67,10.32,11.96,10.53,8.97
1921,11.2,10.04,12.83,9.58,11.51,11.09,12.22,11.76,10.81,13.53,9.65,11.26,11.62,11.88,10.67,10.13,11.31,10.93,12.4,11.05,12.57,10.69,9.18
1922,9.84,8.5,11.86,8.28,9.85,9.62,10.59,10.23,9.23,12.78,8.22,9.57,10.04,10.86,9.33,8.54,10.34,9.21,10.82,9.41,11.16,9.49,7.9
1923,10.59,9.34,12.53,9.09,10.48,10.46,11.14,11.01,10.05,13.38,9.11,10.2,10.81,11.62,10.13,9.34,11.05,9.8,11.55,10.08,11.9,10.29,8.73
1924,10.18,8.75,12.26,8.58,10.16,9.95,10.91,10.55,9.53,13.11,8.55,9.86,10.37,11.25,9.63,8.83,10.76,9.5,11.15,9.7,11.51,9.86,8.28
1925,10.11,8.98,11.79,8.52,10.26,10.01,10.85,10.59,9.74,12.87,8.64,10.03,10.48,10.88,9.6,9.04,10.29,9.89,11.17,9.95,11.42,9.69,8.16
1926,10.85,9.49,12.9,9.27,10.88,10.62,11.53,11.24,10.29,13.53,9.24,10.61,11.09,11.83,10.37,9.57,11.33,10.35,11.83,10.49,12.23,10.49,8.92
1927,10.5,9.2,12.52,8.95,10.35,10.27,11.06,10.78,9.88,13.56,9.02,10.06,10.61,11.67,10.01,9.2,11.07,9.75,11.35,9.96,11.81,10.36,8.74
1928,10.96,9.6,12.88,9.47,10.92,10.83,11.61,11.41,10.42,13.56,9.46,10.62,11.22,11.96,10.55,9.69,11.4,10.24,11.96,10.5,12.33,10.63,9.07
1929,10.24,8.87,12.36,8.7,10.18,10.03,11.01,10.6,9.63,12.97,8.67,9.82,10.41,11.26,9.78,8.94,10.76,9.45,11.2,9.68,11.63,9.94,8.33
1930,10.87,9.58,12.85,9.27,10.87,10.72,11.36,11.31,10.47,13.48,9.3,10.63,11.21,11.78,10.37,9.74,11.29,10.44,11.84,10.59,12.19,10.44,8.91
1931,9.97,8.38,12.15,8.33,10.02,9.66,10.83,10.31,9.39,12.74,8.21,9.72,10.22,11.0,9.46,8.61,10.52,9.52,10.9,9.63,11.36,9.58,7.95
1932,10.27,8.95,12.16,8.59,10.42,10.07,11.15,10.7,9.85,12.86,8.62,10.17,10.65,11.11,9.72,9.12,10.62,10.05,11.25,10.12,11.58,9.78,8.23
